CountyTract,FacID,FacType,minutes,miles
Z49001100100,538,Gastroenterology,101.699589215,107.560727106
Z49001100100,723,Lung Cancer Screening,167.076594142,191.670835699
Z49001100100,751,Mammography,50.9124706882999,47.8974476432999
Z49001100200,538,Gastroenterology,90.1974840657999,97.6900351132999
Z49001100200,721,Lung Cancer Screening,196.263533061,219.477713622
Z49001100200,817,Mammography,48.1092872818,46.9249554407999
Z49003960100,677,Gastroenterology,56.0439006762,46.2209087297
Z49003960100,723,Lung Cancer Screening,121.316257532999,108.130951174
Z49003960100,914,Mammography,25.8333345174999,20.8144112190999
Z49003960200,677,Gastroenterology,32.5054750584999,24.7547757564999
Z49003960200,723,Lung Cancer Screening,109.817315927999,91.3883516579
Z49003960200,914,Mammography,7.84028916994,3.47456059209
Z49003960301,677,Gastroenterology,32.5804643868,25.6356269656
Z49003960301,723,Lung Cancer Screening,107.429642358999,90.0959882166
Z49003960301,914,Mammography,4.79382991394,2.15948693278
Z49003960302,677,Gastroenterology,34.6157803353,26.7409416397999
Z49003960302,723,Lung Cancer Screening,109.464958307,91.2013028907999
Z49003960302,914,Mammography,1.44897587247,0.815610675684
Z49003960400,677,Gastroenterology,43.3324630684,32.9665180932
Z49003960400,723,Lung Cancer Screening,103.524513099999,85.0493437264999
Z49003960400,914,Mammography,16.3380623728,7.42090609172
Z49003960500,677,Gastroenterology,35.8835483899,29.2255504383999
Z49003960500,723,Lung Cancer Screening,92.9545730292,73.2375626702
Z49003960500,847,Mammography,5.06896107934,2.05151845516
Z49003960601,677,Gastroenterology,33.4591334317999,27.9175098284999
Z49003960601,723,Lung Cancer Screening,92.2900431762,72.6753002968
Z49003960601,847,Mammography,6.25612105686,2.50992162212
Z49003960602,677,Gastroenterology,34.584530792,28.2925209996999
Z49003960602,723,Lung Cancer Screening,93.6142890173999,73.2906422705
Z49003960602,847,Mammography,7.58036689804,3.12526359574
Z49003960701,677,Gastroenterology,34.9003846419999,29.0380700000999
Z49003960701,723,Lung Cancer Screening,89.4245336183,71.3779637808
Z49003960701,847,Mammography,0.768422541,0.263861104186
Z49003960702,677,Gastroenterology,33.0466966206,27.7227573083
Z49003960702,723,Lung Cancer Screening,89.4205802567999,71.3825771751999
Z49003960702,847,Mammography,3.38665813749,1.21719850047
Z49003960801,618,Gastroenterology,28.0325734778,18.7710237317
Z49003960801,723,Lung Cancer Screening,82.0789578162,65.5639629635
Z49003960801,847,Mammography,10.8675576149,7.03554885793
Z49003960802,618,Gastroenterology,30.5148070581,21.8525722064
Z49003960802,723,Lung Cancer Screening,84.5611913964,68.6455114382
Z49003960802,847,Mammography,4.51754286111,2.74498928187
Z49005000101,677,Gastroenterology,18.8365017878,14.0771029179
Z49005000101,723,Lung Cancer Screening,138.261894041,116.038113871999
Z49005000101,805,Mammography,15.7344977290999,12.8124767057
Z49005000102,677,Gastroenterology,28.2977626851,19.7559011138
Z49005000102,723,Lung Cancer Screening,143.609887807999,119.18993625
Z49005000102,766,Mammography,25.8159896447999,18.3736525529999
Z49005000201,677,Gastroenterology,10.8536435829,6.81131241751
