CountyTract,FacID,FacType,minutes,miles,State
Z16001000101,188,Gastroenterology,4.15304881915,1.29413711529,ID
Z16001000101,738,Lung Cancer Screening,1.69126989691,0.474829516298,ID
Z16001000101,919,Mammography,4.9976683568,1.43839331117,ID
Z16001000102,437,Gastroenterology,2.2319650554,0.445227452991,ID
Z16001000102,738,Lung Cancer Screening,3.07574140109,0.895809656764,ID
Z16001000102,876,Mammography,2.87414004815,0.755198827642,ID
Z16001000201,520,Gastroenterology,3.6529792954899998,0.656315373297,ID
Z16001000201,688,Lung Cancer Screening,8.49593244065,2.36674119535,ID
Z16001000201,876,Mammography,6.32735538676,1.82546622244,ID
Z16001000202,476,Gastroenterology,18.8060820588,5.76449990413,ID
Z16001000202,738,Lung Cancer Screening,18.6723127933,5.71661097572,ID
Z16001000202,876,Mammography,19.6697320228,6.02864665309,ID
Z16001000302,476,Gastroenterology,10.2383739344,4.06796650816,ID
Z16001000302,722,Lung Cancer Screening,9.08281288753,4.89958952793,ID
Z16001000302,872,Mammography,9.08281288753,4.89958952793,ID
Z16001000303,191,Gastroenterology,11.4768466827,4.59678318478,ID
Z16001000303,722,Lung Cancer Screening,7.71188837256,3.98598935798,ID
Z16001000303,872,Mammography,7.71188837256,3.98598935798,ID
Z16001000305,191,Gastroenterology,14.1191823887,5.90909887887,ID
Z16001000305,722,Lung Cancer Screening,8.22949386674999,3.98735797632,ID
Z16001000305,872,Mammography,8.22949386674999,3.98735797632,ID
Z16001000306,191,Gastroenterology,12.4275637219,5.01651815114,ID
Z16001000306,722,Lung Cancer Screening,7.71296801652,3.94735256499,ID
Z16001000306,872,Mammography,7.71296801652,3.94735256499,ID
Z16001000401,191,Gastroenterology,7.59483280362,3.1369300639,ID
Z16001000401,689,Lung Cancer Screening,6.54056405967,2.69691969029,ID
Z16001000401,903,Mammography,7.51161563308,3.10216279533,ID
Z16001000402,191,Gastroenterology,6.55390133104,2.84358198037,ID
Z16001000402,738,Lung Cancer Screening,4.31074639996,1.43623924338,ID
Z16001000402,903,Mammography,6.4706841605,2.8088147118,ID
Z16001000501,476,Gastroenterology,7.79259478396,2.92853651327,ID
Z16001000501,738,Lung Cancer Screening,6.46167279511,2.5089132979,ID
Z16001000501,876,Mammography,7.85059708245,2.89950908794,ID
Z16001000502,476,Gastroenterology,6.86732115944,2.06495898992,ID
Z16001000502,738,Lung Cancer Screening,6.20950618876,2.11722488286,ID
Z16001000502,876,Mammography,7.5984304761,2.5078206729,ID
Z16001000601,476,Gastroenterology,4.22554577441,1.4273182829,ID
Z16001000601,738,Lung Cancer Screening,4.20653552859,1.45612591485,ID
Z16001000601,876,Mammography,5.08919573839,1.69146503186,ID
Z16001000602,476,Gastroenterology,2.50250649455,0.779802418901,ID
Z16001000602,738,Lung Cancer Screening,4.98884668553,1.39279448944,ID
Z16001000602,876,Mammography,3.36615645853,1.04394916786,ID
Z16001000701,185,Gastroenterology,2.32802192076,0.809542390579,ID
Z16001000701,688,Lung Cancer Screening,2.69613812441,0.860134384805,ID
Z16001000701,874,Mammography,2.69613812441,0.860134384805,ID
Z16001000703,185,Gastroenterology,9.4052458126,4.62350328014,ID
Z16001000703,688,Lung Cancer Screening,9.77336201626,4.67409527437,ID
Z16001000703,874,Mammography,9.77336201626,4.67409527437,ID
Z16001000704,185,Gastroenterology,5.79164887669,1.88435949744,ID
Z16001000704,688,Lung Cancer Screening,6.15976508034,1.93495149167,ID
Z16001000704,874,Mammography,6.15976508034,1.93495149167,ID
Z16001000803,185,Gastroenterology,8.639710721,3.86956484702,ID
Z16001000803,688,Lung Cancer Screening,9.30743726465,3.98359756501,ID
Z16001000803,874,Mammography,9.30743726465,3.98359756501,ID
Z16001000805,185,Gastroenterology,7.28816215819,3.56917489772,ID
Z16001000805,688,Lung Cancer Screening,7.95588870184,3.6832076157,ID
