cat,GEOID,Tract,County,State,measure,RE,Sex,def,fmt,source,lbl,technology,value
Sufficient Broadband,16001010503,Census Tract 105.03,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010505,Census Tract 105.05,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010506,Census Tract 105.06,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16003950100,Census Tract 9501.00,Adams County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16003950200,Census Tract 9502.00,Adams County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",False,terrestrial,0
Sufficient Broadband,16005000200,Census Tract 2.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000301,Census Tract 3.01,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000302,Census Tract 3.02,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000400,Census Tract 4.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000500,Census Tract 5.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000600,Census Tract 6.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000700,Census Tract 7.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000800,Census Tract 8.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005000900,Census Tract 9.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001000,Census Tract 10.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001102,Census Tract 11.02,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001103,Census Tract 11.03,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001104,Census Tract 11.04,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001200,Census Tract 12.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001300,Census Tract 13.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001400,Census Tract 14.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001500,Census Tract 15.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001601,Census Tract 16.01,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001602,Census Tract 16.02,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001603,Census Tract 16.03,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001700,Census Tract 17.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16005001900,Census Tract 19.00,Bannock County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",False,terrestrial,0
